hour,day,month,weekday,year,grupo
0,1,1,5,2005,0
1,31,12,5,2005,0
2,31,12,5,2005,0
3,31,12,5,2005,0
4,31,12,5,2005,0
5,31,12,5,2005,0
6,31,12,5,2005,0
7,31,12,5,2005,0
8,31,12,5,2005,0
9,31,12,5,2005,0
10,31,12,5,2005,1
11,31,12,5,2005,1
12,31,12,5,2005,1
13,31,12,5,2005,1
14,31,12,5,2005,1
15,31,12,5,2005,1
16,31,12,5,2005,1
17,31,12,5,2005,1
18,31,12,5,2005,1
19,31,12,5,2005,1
20,31,12,5,2005,1
21,31,12,5,2005,1
22,31,12,5,2005,1
23,31,12,5,2005,0
0,1,1,6,2006,0
1,30,12,4,2005,0
2,30,12,4,2005,0
3,30,12,4,2005,0
4,30,12,4,2005,0
5,30,12,4,2005,0
6,30,12,4,2005,0
7,30,12,4,2005,1
8,30,12,4,2005,1
9,30,12,4,2005,1
10,30,12,4,2005,1
11,30,12,4,2005,1
12,30,12,4,2005,1
13,30,12,4,2005,1
14,30,12,4,2005,1
15,30,12,4,2005,1
16,30,12,4,2005,1
17,30,12,4,2005,1
18,30,12,4,2005,1
19,30,12,4,2005,1
20,30,12,4,2005,1
21,30,12,4,2005,1
22,30,12,4,2005,1
23,30,12,4,2005,1
0,31,12,5,2005,1
1,29,12,3,2005,0
2,29,12,3,2005,0
3,29,12,3,2005,0
4,29,12,3,2005,0
5,29,12,3,2005,0
6,29,12,3,2005,0
7,29,12,3,2005,1
8,29,12,3,2005,1
9,29,12,3,2005,1
10,29,12,3,2005,1
11,29,12,3,2005,1
12,29,12,3,2005,1
13,29,12,3,2005,1
14,29,12,3,2005,1
15,29,12,3,2005,1
16,29,12,3,2005,1
17,29,12,3,2005,1
18,29,12,3,2005,1
19,29,12,3,2005,1
20,29,12,3,2005,1
21,29,12,3,2005,1
22,29,12,3,2005,1
23,29,12,3,2005,1
0,30,12,4,2005,1
1,28,12,2,2005,0
2,28,12,2,2005,0
3,28,12,2,2005,0
4,28,12,2,2005,0
5,28,12,2,2005,0
6,28,12,2,2005,0
7,28,12,2,2005,1
8,28,12,2,2005,1
9,28,12,2,2005,1
10,28,12,2,2005,1
11,28,12,2,2005,1
12,28,12,2,2005,1
13,28,12,2,2005,1
14,28,12,2,2005,1
15,28,12,2,2005,1
16,28,12,2,2005,1
17,28,12,2,2005,1
18,28,12,2,2005,1
19,28,12,2,2005,1
20,28,12,2,2005,1
21,28,12,2,2005,1
22,28,12,2,2005,1
23,28,12,2,2005,1
0,29,12,3,2005,0
1,27,12,1,2005,0
2,27,12,1,2005,0
3,27,12,1,2005,0
4,27,12,1,2005,0
5,27,12,1,2005,0
6,27,12,1,2005,1
7,27,12,1,2005,1
8,27,12,1,2005,1
9,27,12,1,2005,1
10,27,12,1,2005,1
11,27,12,1,2005,1
12,27,12,1,2005,1
13,27,12,1,2005,1
14,27,12,1,2005,1
15,27,12,1,2005,1
16,27,12,1,2005,1
17,27,12,1,2005,1
18,27,12,1,2005,1
19,27,12,1,2005,1
20,27,12,1,2005,1
21,27,12,1,2005,1
22,27,12,1,2005,1
23,27,12,1,2005,1
0,28,12,2,2005,1
1,26,12,0,2005,0
2,26,12,0,2005,0
3,26,12,0,2005,0
4,26,12,0,2005,0
5,26,12,0,2005,0
6,26,12,0,2005,0
7,26,12,0,2005,0
8,26,12,0,2005,0
9,26,12,0,2005,1
10,26,12,0,2005,1
11,26,12,0,2005,1
12,26,12,0,2005,1
13,26,12,0,2005,1
14,26,12,0,2005,1
15,26,12,0,2005,1
16,26,12,0,2005,1
17,26,12,0,2005,1
18,26,12,0,2005,1
19,26,12,0,2005,1
20,26,12,0,2005,1
21,26,12,0,2005,1
22,26,12,0,2005,1
23,26,12,0,2005,1
0,27,12,1,2005,1
1,25,12,6,2005,0
2,25,12,6,2005,0
3,25,12,6,2005,0
4,25,12,6,2005,0
5,25,12,6,2005,0
6,25,12,6,2005,0
7,25,12,6,2005,0
8,25,12,6,2005,0
9,25,12,6,2005,0
10,25,12,6,2005,0
11,25,12,6,2005,0
12,25,12,6,2005,0
13,25,12,6,2005,0
14,25,12,6,2005,0
15,25,12,6,2005,0
16,25,12,6,2005,0
17,25,12,6,2005,0
18,25,12,6,2005,0
19,25,12,6,2005,0
20,25,12,6,2005,0
21,25,12,6,2005,0
22,25,12,6,2005,0
23,25,12,6,2005,0
0,26,12,0,2005,0
1,24,12,5,2005,0
2,24,12,5,2005,0
3,24,12,5,2005,0
4,24,12,5,2005,0
5,24,12,5,2005,0
6,24,12,5,2005,0
7,24,12,5,2005,0
8,24,12,5,2005,1
9,24,12,5,2005,1
10,24,12,5,2005,1
11,24,12,5,2005,1
12,24,12,5,2005,1
13,24,12,5,2005,0
14,24,12,5,2005,0
15,24,12,5,2005,0
16,24,12,5,2005,0
17,24,12,5,2005,0
18,24,12,5,2005,0
19,24,12,5,2005,0
20,24,12,5,2005,0
21,24,12,5,2005,0
22,24,12,5,2005,0
23,24,12,5,2005,0
0,25,12,6,2005,0
1,23,12,4,2005,1
2,23,12,4,2005,1
3,23,12,4,2005,1
4,23,12,4,2005,1
5,23,12,4,2005,1
6,23,12,4,2005,1
7,23,12,4,2005,1
8,23,12,4,2005,1
9,23,12,4,2005,1
10,23,12,4,2005,1
11,23,12,4,2005,1
12,23,12,4,2005,1
